Country,Year,PM2.5,PM10,TotalDeaths,PMDeaths,CitiesCount
Chile,2011,26.223636363636363,66.91818181818182,28.70141702640724,24.154731314138623,11
Chile,2012,25.12090909090909,64.79727272727273,27.314750376093915,22.909902079535517,11
Chile,2013,30.403684210526315,64.73947368421052,26.58921404418155,22.34178251163225,19
Chile,2014,28.918518518518518,56.18296296296297,25.317217059000072,21.276258892826007,27
Chile,2015,27.145625,55.9546875,24.84461527443071,20.96583497343749,32
Chile,2016,28.25344827586207,52.76241379310345,24.02172262772059,20.10518108731192,29
China,2013,105.0,190.0,81.734686234979,54.17601015667236,1
China,2014,72.0,126.0,78.9903230003452,52.51894495647148,2
China,2015,55.77777777777778,102.77777777777777,78.25140892499367,52.65894615543432,9
China,2016,47.25583333333333,85.35583333333334,74.70570934957617,49.44868337698298,12
Colombia,2010,32.33,58.0,30.225155066209204,20.568545404977787,1
Colombia,2011,22.5,50.5,28.047016603695173,19.5955975799222,2
Colombia,2012,24.833333333333332,54.833333333333336,26.588128214090613,18.895130002094067,3
Colombia,2013,22.35,49.12,25.051088139658397,17.991234025186046,4
Colombia,2014,20.882857142857144,43.62571428571429,23.881846794620724,17.33762822695851,7
Colombia,2015,27.3375,55.3375,23.238309577371385,17.091480018875185,4
Colombia,2016,17.9,41.36,22.415220772082822,16.63831581682576,1
Costa Rica,2013,22.0,24.0,20.62656216569923,16.033366314587177,1
Croatia,2013,21.7,35.81,36.752732173893335,29.160197839550484,1
Croatia,2014,13.32,23.470000000000002,36.09441955332218,28.485564071673807,2
Croatia,2015,12.70142857142857,19.325714285714287,37.53962033602016,29.94664164389749,7
Croatia,2016,12.027142857142858,18.934285714285714,34.23502573085698,27.12795643692429,7
Croatia,2017,11.787142857142857,16.845714285714287,33.552074585083204,26.803493217711654,7
Cyprus,2010,19.966666666666665,45.26666666666667,32.9346875080022,30.157946712156264,3
Cyprus,2013,15.603333333333333,36.919999999999995,28.380650570829207,25.78130778888452,3
Cyprus,2014,15.589999999999998,33.656666666666666,27.65958341388981,25.051621772958665,3
Cyprus,2015,14.76,34.403333333333336,27.60860769544438,25.01751325258554,3
Cyprus,2016,10.835,29.275,25.96171468056219,23.36870549082525,4
Cyprus,2017,13.4375,26.865000000000002,25.95910461328527,23.39594606492024,4
Czechia,2010,23.613333333333337,32.07296296296296,37.01760464688104,34.30163995321677,27
Czechia,2013,20.158125000000002,26.06,33.93026178380828,31.04656476863149,32
Czechia,2014,19.37290322580645,25.911935483870966,32.26503336719154,29.443756342432703,31
Czechia,2015,17.946666666666665,24.43185185185185,32.41577614263114,29.577596730308297,27
Czechia,2016,18.4388,23.742199999999997,30.791526739212102,27.980942326050425,50
Czechia,2017,18.747692307692308,24.354423076923077,30.15992328169316,27.474774755084816,52
Denmark,2010,13.969999999999999,22.03,24.79781339607681,22.09043311317833,2
Denmark,2013,11.965,24.225,21.18743884756152,18.59909782654785,2
Denmark,2014,13.26,22.386666666666667,20.665882663638488,18.150670498110504,3
Denmark,2015,11.256666666666666,20.666666666666668,19.891194178420136,17.381600857521246,3
Denmark,2016,10.246666666666668,18.73,19.31916137636146,16.78729836223031,3
